bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_above,sqft_basement,yr_built,sqft_living15,sqft_lot15,caro
3,2.25,1500,7615,1,3,7,1150,350,1984,1540,8649,0
3,1.75,1710,6400,1,4,7,1240,470,1976,1600,6400,1
4,1.75,1740,9344,1,3,7,1180,560,1978,1440,12884,0
4,2.5,2060,7720,2,3,8,2060,0,1995,1630,7720,0
3,1.75,1100,9750,1,4,6,1100,0,1967,1100,9900,1
5,2.5,3090,12750,1,3,8,1750,1340,1968,1760,25919,0
3,1,960,9563,1,5,7,960,0,1967,1280,9600,1
2,1,1122,9100,1,4,6,1122,0,1960,840,9344,1
3,2.25,1580,7941,2,4,7,1580,0,1986,1730,8051,1
4,2.25,2390,13002,2,3,8,2390,0,1987,2450,11200,0
4,2.25,2390,7350,2,3,8,2390,0,1990,2390,7350,0
4,2.25,3340,8000,2,4,8,3340,0,1973,2230,8000,0
4,1.75,1720,7200,1,3,7,1220,500,1974,1790,7200,0
4,3.25,4240,25639,2,3,10,3550,690,1989,3590,24967,0
3,1,1220,71191,1,3,6,1220,0,1952,1960,15378,1
3,2,1310,7000,1,4,7,1310,0,1979,1390,7500,1
3,2,1690,6750,1,3,7,1210,480,1977,1930,7350,0
3,2.25,1470,6808,1,3,7,1160,310,1984,1570,7881,1
3,1.75,1570,15570,1,3,7,1570,0,1981,2000,28200,0
4,3,2380,20277,1,3,8,1500,880,1999,2370,15440,0
2,1,1010,10057,1,3,6,1010,0,1961,1040,8591,1
3,2.25,1460,5818,1,3,7,1140,320,1986,1490,6031,1
3,1,1460,8400,1,4,6,1460,0,1962,1060,8563,1
4,1.5,1130,7840,1,4,7,1130,0,1970,1690,7840,1
2,2.5,2410,7500,1,3,7,1550,860,1978,1840,8800,0
4,2.5,2100,10750,1,4,8,2100,0,1967,2310,10425,1
5,2,1210,12538,2,3,7,1210,0,1982,1510,7700,1
3,1.75,1190,14777,1,4,7,1190,0,1965,2240,8325,1
3,1.75,2420,14862,1,3,8,1380,1040,1977,2550,14675,0
3,1,1040,8892,1,4,6,800,240,1958,820,9000,1
4,2.5,2441,7316,2,3,8,2441,0,2007,2724,7357,0
4,2.5,2190,8100,1,4,8,1250,940,1978,2100,8840,0
4,2.25,2000,10374,2,4,7,2000,0,1967,2170,10374,1
3,2.5,1830,8372,2,3,8,1830,0,1987,1770,8372,0
3,1,1290,6566,1,5,7,1290,0,1976,1690,6860,1
4,1.75,2020,8800,1,4,8,2020,0,1969,2320,8000,0
3,1.75,1740,8625,1,4,7,1240,500,1978,1980,8625,1
2,1,1440,6650,1,3,7,970,470,1980,1600,6847,0
4,2.25,1810,7601,1,3,7,1080,730,1986,1570,7601,1
4,1.75,2120,8520,1,3,7,1600,520,1978,2160,8400,0
3,1,1100,8680,1,3,6,1100,0,1962,1100,9220,1
3,1,1040,8925,1,4,6,1040,0,1961,1040,8925,1
3,2.25,2030,8690,1,4,8,1360,670,1986,1720,8800,0
4,2.5,1690,7260,1,3,7,1080,610,1979,1690,7700,0
4,2.75,1760,9222,1,3,7,1140,620,1971,1800,9222,0
2,1.75,2860,59612,1,3,8,1510,1350,1948,2720,59612,1
5,3.5,2960,12527,2,3,9,1940,1020,1986,2210,10952,0
3,1.75,1200,9085,1,4,7,1200,0,1968,1200,9085,1
3,2,1900,9513,1,3,8,1900,0,1995,1790,8028,1
2,1.75,1950,8200,1,3,8,1950,0,1975,2370,8000,0
3,2.25,1530,12000,1,3,7,1070,460,1979,2140,13636,1
3,2.75,3610,107386,1.5,3,8,3130,480,1918,2630,42126,0
4,1.75,2160,8000,1,4,9,1660,500,1976,2350,8200,1
3,1.75,1840,14005,1,3,8,1840,0,1983,2170,7992,1
4,2.5,2450,8932,2,3,8,2450,0,1990,2410,8775,0
3,2.5,2850,12593,2,3,9,2850,0,1997,2850,9435,0
3,3,2031,7702,2,3,9,2031,0,1988,2390,7700,1
3,2.75,3210,15939,2,3,10,3210,0,1998,2870,15939,1
3,2.5,3316,11447,2,3,9,3316,0,1986,3000,11447,0
3,2.25,1480,7200,1,3,7,1190,290,1975,1830,7200,1
3,1,1490,8239,1,4,6,1490,0,1963,1200,8470,0
4,2,1610,6650,1,3,7,1610,0,1989,1960,6650,1
3,1.5,1800,12196,1,4,7,1800,0,1966,1490,11730,1
4,2.75,2530,7350,1,5,8,1280,1250,1977,2280,7350,0
3,2,1920,8075,1,4,7,1510,410,1969,1920,7826,0
4,2.25,2580,8820,1,4,9,1620,960,1967,2140,8400,0
3,1,1000,8470,1,4,6,1000,0,1963,1020,8470,1
2,1.5,1400,9031,1,3,7,960,440,1982,1450,7658,0
3,1,970,9583,1,4,6,970,0,1967,970,7875,1
3,1.75,1850,7684,1,3,8,1320,530,1979,1940,7630,0
4,1.75,1670,8000,1,4,8,1670,0,1974,1720,8000,1
3,2,1850,8208,1,4,7,1180,670,1970,1790,8174,0
3,1.5,1630,10200,1,4,8,1300,330,1976,1960,6700,1
5,4.5,4850,40902,2,3,10,4850,0,2001,1640,13503,0
3,1.75,1770,29004,1,3,8,1770,0,1959,2300,24534,0
4,3.5,5844,10766,2,3,11,5844,0,2007,3413,10766,1
3,1.75,1820,8740,1,4,8,1820,0,1987,2210,8320,0
3,1.75,1560,10919,1,3,7,1560,0,1975,1730,10919,1
3,2.5,2060,7658,2,3,8,2060,0,2003,2250,7299,1
4,3,3610,18948,2,3,10,3610,0,1993,3568,18948,0
3,1.5,1520,6805,1,4,7,1040,480,1981,1440,7041,1
4,2.5,1770,6666,2,3,7,1770,0,1989,1780,6666,1
4,1,1340,8400,1,5,7,1340,0,1966,1120,8400,1
3,1.75,1460,12367,2,4,8,1120,340,1970,1970,18893,1
5,1.75,2460,16000,1,3,7,1230,1230,1957,1990,16000,0
4,3,2540,8800,1,3,9,1620,920,1977,2540,8800,0
4,2.25,3220,7700,2,4,8,3220,0,1976,2570,7700,0
3,1.75,1480,8475,1,4,7,1480,0,1968,1800,8800,1
3,1.5,1700,9579,1,4,7,1100,600,1962,1700,9628,1
4,2,1500,7854,1.5,3,7,1500,0,1983,1500,7334,1
4,1.5,1240,9600,1,3,7,1240,0,1971,1240,9592,1
3,1,1150,10132,1,4,7,1150,0,1970,1180,8713,1
4,2.5,2300,8100,1,4,8,1360,940,1979,1910,7630,0
3,1.75,1740,8800,1,3,7,1140,600,1978,1690,7920,0
4,2.5,2506,7206,2,3,8,2506,0,2007,2441,7220,0
3,1.75,1440,16819,1.5,4,6,1440,0,1925,1560,12376,1
3,2,1690,6790,1,3,7,1360,330,1979,1740,6790,0
4,2.5,3140,8060,2,3,9,3140,0,1991,3000,8060,0
3,1.5,1420,8580,1,3,6,1420,0,1962,1200,8580,0
3,1.5,1420,8580,1,3,6,1420,0,1962,1200,8580,1
3,1.75,2380,10450,1.5,3,8,2380,0,1966,2320,8500,0
4,1,1640,10455,1,3,7,950,690,1963,1360,9750,0
3,2.25,1840,9040,1,3,8,1370,470,1979,1870,8992,1
3,2.5,1480,7210,1,3,7,1180,300,1986,1690,7396,1
5,2.25,2200,9600,1,4,7,1100,1100,1963,1780,9680,0
5,2.25,3260,7969,2,4,8,3260,0,1982,2070,7962,0
4,1,1630,8400,1,3,6,1630,0,1962,1190,8989,0
4,2.25,2520,8000,1,3,8,1680,840,1970,2300,8000,1
2,2,1540,5000,1.5,3,8,1540,0,1986,1590,5000,1
4,1.75,1840,10528,1,3,7,1210,630,1990,1620,9331,1
3,1.75,1070,6315,1,3,7,1070,0,1992,1520,5707,1
3,1,1050,7577,1,3,7,1050,0,1983,1430,7245,1
3,1,1030,8395,1,4,7,1030,0,1960,1370,9380,1
4,2.5,3090,18645,2,3,9,3090,0,1995,3610,20114,0
3,1,1430,7000,1,3,6,1430,0,1968,1050,7700,1
3,1.75,1790,7650,1,3,9,1790,0,1978,2540,7600,1
2,1,810,8424,1,4,6,810,0,1959,820,8424,1
3,2.25,2420,7548,1,4,8,1370,1050,1967,2150,8000,0
3,2.5,1870,8541,2,3,8,1870,0,1989,2150,7789,1
3,1.75,1460,7967,1,3,7,1040,420,1977,1460,6835,0
4,2.25,2040,7600,1,4,8,1580,460,1978,2130,7200,0
3,1.5,1060,9600,1,4,7,1060,0,1962,1440,9600,1
3,1,1320,8450,1,3,6,880,440,1961,1320,8450,1
4,2.5,4620,20793,2,4,11,4620,0,1991,3640,20793,0
3,2,1320,5665,1,3,7,1320,0,1986,1336,7080,1
3,2.75,2090,9620,1,3,8,1340,750,1987,2150,9660,0
3,2.75,2090,9620,1,3,8,1340,750,1987,2150,9660,0
3,1,1330,6900,1,3,7,1330,0,1976,1530,7000,1
3,3.25,3130,9302,2,3,8,2190,940,1987,2350,7949,0
4,2.25,2490,7233,1,3,8,1460,1030,1978,2000,8000,0
3,1.75,1690,9826,1,4,7,1690,0,1988,1980,9826,1
3,1.75,1480,3900,1,4,7,1480,0,1980,1830,6956,1
3,1.75,1480,3900,1,4,7,1480,0,1980,1830,6956,1
3,1.75,1980,12543,1,3,8,1180,800,1978,2090,8539,0
4,2.25,2060,11385,1,4,7,1200,860,1962,2110,11385,0
3,2.75,3290,11441,2,4,10,3290,0,1988,2600,12070,1
3,1.75,1440,8050,1,3,8,1440,0,1985,1790,7488,1
4,2.5,1900,7000,1,2,7,1420,480,1968,1600,7600,1
3,1.5,1430,7347,1,3,7,820,610,1980,1430,8723,0
3,2,1470,8000,1,4,8,1470,0,1974,1980,8000,1
4,2.75,2530,13474,2,4,8,2530,0,1994,2490,13140,0
4,2.75,3430,8000,1.5,4,8,3430,0,1972,2090,8000,0
4,2.25,2010,7688,1,3,8,1170,840,1979,1990,7688,0
5,1.75,1990,27810,1,3,7,1990,0,1955,2240,20000,0
3,1.75,1670,6900,1,3,7,1170,500,1978,1740,7000,0
3,2.5,1650,5000,2,3,8,1650,0,1985,1720,5000,0
3,2.5,3240,33151,2,3,10,3240,0,1995,4050,24967,1
4,3,2150,64694,1,3,8,1450,700,1969,2430,59612,1
3,2.25,1810,6750,1,3,7,1280,530,1978,1690,7770,0
3,1.75,2190,8000,1,4,8,2190,0,1967,1980,8000,0
3,2.5,2790,16173,2,3,10,2790,0,1988,2890,11632,1
3,1,1200,10458,1,4,6,1200,0,1961,1160,9000,1
3,1,1290,8470,1,4,7,970,320,1966,1300,7350,1
3,2,1410,44866,1,4,7,1410,0,1985,2950,29152,1
3,2,1420,6788,2,3,7,1420,0,1990,1790,6607,1
5,3,2970,7000,1,3,8,1810,1160,1979,2630,8062,0
3,1,1520,8450,1,2,6,1120,400,1961,1320,8450,0
3,2.5,2210,7557,2,3,9,2210,0,1989,2440,8641,1
3,1.75,1650,7700,1,4,8,1650,0,1977,2020,7700,1
3,1,1060,10023,1,3,6,1060,0,1962,1060,10023,1
4,2.75,2200,13498,2,3,8,2200,0,1987,2190,11850,1
3,1,900,4770,1,3,6,900,0,1969,900,3480,1
3,2.5,2080,9827,2,3,8,2080,0,1989,2660,9861,0
3,2.5,1460,11593,2,3,7,1460,0,1989,1640,9703,1
4,2.25,2440,8098,2,3,8,2440,0,1983,2110,7911,0
3,2.25,1740,6650,1,3,7,1240,500,1978,1740,7000,0
3,2.25,1740,6650,1,3,7,1240,500,1978,1740,7000,1
4,2.5,1990,6671,2,3,7,1990,0,1989,1862,6566,0
4,2.25,2050,7700,2,3,7,2050,0,1977,1780,7700,0
3,1.75,1170,9085,1,3,7,1170,0,1967,1230,9085,1
3,2.5,2350,9051,1,4,8,1570,780,1966,2270,8748,0
3,1,970,8378,1,4,6,970,0,1962,1050,8563,1
4,2.5,2240,9826,1,4,7,1370,870,1988,1980,9826,0
4,2.75,2140,8100,2,4,7,2140,0,1990,1960,7002,0
3,1.5,1900,9630,1,3,8,1900,0,1967,2010,9630,0
4,2.5,1677,7209,2,3,7,1677,0,2011,2236,7209,1
4,2.5,2680,15508,2,3,8,2680,0,1999,1960,15586,0
3,1.75,1770,8571,1,3,8,1270,500,1978,2120,7711,0
3,2.25,1630,7900,1,4,7,1130,500,1973,1630,8200,0
3,1.75,2050,11313,1,3,7,1520,530,1987,1620,8065,0
3,2.5,2260,8120,2,3,8,2260,0,2004,2250,7784,0
3,1,840,9480,1,3,6,840,0,1960,840,9420,0
3,1,840,9480,1,3,6,840,0,1960,840,9420,1
4,2.25,2300,7524,2,4,8,2300,0,1978,2270,8025,0
3,1.75,1770,8240,1,4,7,1240,530,1978,2060,8250,1
3,1.75,1520,15344,1,3,8,1520,0,1968,2270,14981,1
2,1,1420,16400,1.5,4,6,1420,0,1943,1900,16400,1
3,1,1280,12928,1.5,3,6,1280,0,1942,1610,19467,1
3,1.5,1470,18459,2,4,6,1470,0,1916,1750,16074,0
3,1.5,2060,15050,1.5,4,7,2060,0,1938,1900,15674,0
3,2.25,1900,18000,1,4,7,1280,620,1968,1920,15000,0
4,2.25,2190,6906,1,4,7,1040,1150,1977,1250,6440,0
3,1,840,8400,1,3,6,840,0,1959,840,9450,0
4,2.25,2180,8000,1,4,9,1630,550,1975,2310,8000,1
3,1.75,1610,6205,1,4,7,1210,400,1979,1780,8056,1
3,1.75,1080,7942,1,3,7,1080,0,1981,1380,8244,0
5,2.75,2300,7600,1,4,7,1400,900,1969,1750,8500,0
4,2.75,2250,7345,1,4,8,1320,930,1984,1800,6950,0
4,2.75,2370,7320,2,3,7,2370,0,1989,1960,7320,0
3,1.75,1860,15681,1,4,7,1860,0,1971,1860,22979,0
4,2.25,1830,9485,1,4,7,1200,630,1989,1730,10109,0
3,1.5,1480,7000,1,3,7,1000,480,1980,1470,7022,0
3,2.25,1560,6013,2,3,7,1560,0,1990,1640,6290,0
3,1.75,1520,9600,1,3,8,1520,0,1966,2060,9600,1
2,1,1770,16660,1,3,8,1220,550,1957,2790,20504,1
3,1.75,1480,6592,1,4,7,1080,400,1978,1660,7150,1
3,1.5,1860,8505,1,4,7,1860,0,1967,1810,8262,0
3,1,840,8470,1,4,6,840,0,1961,840,8450,1
4,2.25,1860,12693,1,3,8,1140,720,1978,1950,8740,0
3,1.75,2130,7140,1,3,8,1580,550,1979,2180,7906,0
3,2.25,1940,9560,2,3,7,1940,0,1989,1800,9560,0
4,2.75,2330,7642,1,3,8,1800,530,1990,2320,7933,0
3,1.75,1500,7475,1,4,8,1500,0,1976,1940,7475,1
4,2.5,2380,9362,2,3,8,2380,0,2000,2190,9840,0
4,2,2390,23972,2,3,7,1720,670,1949,1950,22750,0
4,1.75,1960,6177,1,4,8,1960,0,1967,2010,8162,0
3,1.75,1140,9628,1,4,7,1140,0,1969,1510,9633,0
3,1.75,1140,9628,1,4,7,1140,0,1969,1510,9633,1
3,2.5,1650,6675,1,3,8,1290,360,1990,1880,6675,1
4,3,1990,6180,2,3,7,1990,0,1990,1910,6180,0
3,2.25,2110,7665,1,4,7,1360,750,1973,1660,8436,0
4,2.5,2510,12000,1,3,8,1520,990,1977,2210,8320,0
3,2.25,2140,9775,1,4,7,1470,670,1978,2050,8625,0
3,2.5,1870,6821,2,3,7,1870,0,1989,1970,6821,0
4,1.75,1940,13370,1,4,8,1940,0,1974,2405,11769,0
3,1,880,8976,1,4,6,880,0,1966,990,8760,1
3,1,1400,9690,1,3,7,1400,0,1969,1280,9600,0
3,2.5,3800,13071,2,3,10,2730,1070,1994,2980,11110,0
2,1,850,54000,1.5,1,4,850,0,1950,1550,14440,1
4,2.5,2400,7215,2,3,8,2400,0,1992,2220,7760,0
4,2.5,2550,7500,1,3,8,1750,800,1976,2260,8800,0
3,2.5,2580,23925,2,3,9,2580,0,2001,1660,8460,1
4,3.5,3990,23544,1,3,10,2300,1690,1999,3410,15932,0
3,2.5,2530,8669,2,3,9,2530,0,1990,2530,9469,0
3,1.75,1130,7000,1,3,7,1130,0,1978,1830,8880,1
4,2.5,1940,6887,2,3,7,1940,0,1990,1870,6144,0
4,2.25,1720,8300,1,4,8,1720,0,1973,2010,8000,0
3,2,1710,7225,2,4,7,1710,0,1988,1710,7225,0
4,2.5,2570,9000,1,4,8,1590,980,1979,2120,8571,0
3,2.5,1830,7062,2,3,7,1830,0,1990,1820,6434,1
3,1.75,1840,7300,1,3,8,1840,0,1966,1920,8010,0
3,2.5,2070,5013,2,3,8,2070,0,1987,1670,5013,0
3,2,1240,12285,1,3,7,620,620,1939,1560,11564,1
2,1,1050,9600,1,4,6,1050,0,1959,990,8880,1
3,1.75,1390,18200,1,4,7,1390,0,1962,1810,9675,1
4,2.5,3560,12047,2,3,10,3560,0,1988,3420,11250,0
3,1,1380,10112,1,4,7,940,440,1963,1240,10112,1
5,2.75,3130,9450,1,4,8,1580,1550,1973,1900,9000,0
3,1,1060,9600,1,4,6,1060,0,1962,1060,9604,1
3,2.25,1950,8661,1,4,8,1950,0,1966,1950,8800,0
3,2,2330,8000,1,3,7,1390,940,1986,1570,7227,0
4,2.5,2460,7350,2,3,9,2460,0,1989,2390,8568,0
3,1,1040,10080,1,3,6,1040,0,1959,1000,8736,1
3,2.5,1690,5171,2,3,8,1690,0,2003,2550,5025,1
3,1.75,1830,9620,1,4,8,1830,0,1978,1990,8280,1
3,1.5,1630,6625,1,5,7,980,650,1980,1440,7145,0
